loan_amnt,loan_percent_income,person_emp_length,loan_int_rate,loan_grade
3600,0.04,17.0,8.49,A
12300,0.18,3.0,8.49,A
5400,0.14,2.0,11.11,B
14000,0.19,3.0,10.75,B
7500,0.13,9.0,11.14,B
5000,0.2,5.0,11.89,B
22750,0.54,1.0,6.91,A
2400,0.05,10.0,7.14,A
15000,0.06,10.0,7.49,A
18000,0.33,13.0,7.9,A
5900,0.1,5.0,9.32,A
3000,0.07,10.0,11.83,B
9000,0.17,5.0,11.14,B
6500,0.1,2.0,12.99,C
4500,0.12,4.0,9.91,B
24000,0.18,4.0,13.79,C
10000,0.11,0.0,9.91,B
12000,0.2,2.0,12.21,B
4800,0.06,9.0,15.27,C
8000,0.23,1.0,12.41,C
9600,0.22,2.0,13.16,C
16000,0.21,12.0,6.17,A
5000,0.28,6.0,9.62,B
5000,0.21,4.0,6.62,A
7650,0.13,5.0,11.71,B
1000,0.03,6.0,7.51,A
8500,0.15,3.0,12.42,B
12000,0.13,6.0,5.42,A
1000,0.02,7.0,9.62,B
5000,0.08,8.0,7.88,A
20000,0.17,3.0,11.71,B
12000,0.34,3.0,10.0,B
7200,0.3,3.0,7.51,A
25000,0.29,5.0,13.98,C
4800,0.21,2.0,10.0,B
10000,0.12,6.0,10.99,B
6000,0.13,11.0,9.25,B
5000,0.05,14.0,10.99,B
14000,0.16,9.0,12.73,C
5000,0.13,3.0,10.25,B
10000,0.18,7.0,10.59,B
1200,0.02,2.0,9.63,A
12000,0.21,1.0,6.91,A
5975,0.17,6.0,7.42,A
4800,0.09,1.0,14.79,C
9575,0.49,3.0,6.62,A
10200,0.19,9.0,13.92,C
2000,0.02,2.0,8.0,A
4750,0.08,2.0,5.99,A
8000,0.06,3.0,11.99,B
16000,0.16,12.0,11.11,B
3000,0.03,12.0,10.99,B
12000,0.3,6.0,13.49,C
20000,0.33,0.0,11.14,B
20000,0.27,1.0,11.14,B
2000,0.03,5.0,11.99,B
11000,0.28,3.0,5.79,A
9000,0.15,2.0,12.69,B
6500,0.11,2.0,5.79,A
4500,0.2,13.0,5.79,A
8000,0.23,1.0,12.21,B
4000,0.07,6.0,8.0,A
3200,0.21,8.0,12.21,B
18000,0.05,3.0,11.49,B
4800,0.06,0.0,12.21,B
14500,0.45,4.0,6.17,A
8000,0.07,2.0,15.27,C
14000,0.39,2.0,14.27,C
15000,0.2,4.0,13.61,C
15000,0.18,11.0,6.99,A
9950,0.1,3.0,8.49,A
12000,0.13,12.0,14.65,C
1200,0.04,3.0,8.32,A
10000,0.14,3.0,7.66,A
25000,0.17,3.0,10.08,B
7000,0.2,9.0,5.99,A
1500,0.07,1.0,7.74,A
7000,0.05,14.0,9.91,B
2800,0.06,6.0,12.84,C
8000,0.15,8.0,13.8,C
2000,0.04,5.0,11.49,B
20000,0.21,12.0,13.22,C
10000,0.07,12.0,9.99,B
15775,0.35,0.0,10.99,B
13500,0.19,5.0,12.69,B
7000,0.07,5.0,6.76,A
7350,0.15,4.0,11.12,B
3000,0.05,3.0,13.47,C
10000,0.1,13.0,6.92,A
8000,0.13,2.0,6.76,A
11500,0.15,9.0,5.42,A
6000,0.16,4.0,10.36,B
7125,0.13,2.0,9.99,B
7800,0.11,13.0,10.99,B
3000,0.05,5.0,7.51,A
7500,0.09,11.0,11.71,B
10000,0.06,9.0,13.22,C
10000,0.16,2.0,10.65,B
4300,0.14,1.0,9.63,B
6000,0.14,5.0,12.21,B
11000,0.29,0.0,8.49,A
9600,0.13,7.0,7.29,A
18400,0.17,4.0,12.41,C
4000,0.07,0.0,7.88,A
9000,0.23,12.0,10.59,B
20000,0.32,8.0,11.12,B
13000,0.15,6.0,7.29,A
15000,0.5,1.0,15.27,C
25000,0.22,7.0,12.73,C
25000,0.21,16.0,10.99,B
5000,0.13,5.0,6.62,A
5000,0.08,3.0,9.99,B
6500,0.39,3.0,11.99,B
4000,0.08,1.0,10.59,B
7000,0.1,7.0,6.99,A
12000,0.5,0.0,14.79,C
6000,0.09,2.0,13.72,C
9000,0.11,7.0,9.62,B
5000,0.07,2.0,7.74,A
3625,0.07,2.0,10.59,B
7000,0.19,5.0,5.79,A
9000,0.07,3.0,12.73,C
7000,0.25,8.0,7.9,A
6000,0.13,6.0,11.71,B
15000,0.38,1.0,8.9,A
20000,0.17,4.0,13.47,C
10000,0.13,0.0,11.49,B
10000,0.13,3.0,7.66,A
10000,0.07,0.0,7.14,A
6000,0.1,0.0,13.57,C
15000,0.16,1.0,11.99,B
19200,0.18,5.0,11.99,B
6000,0.1,10.0,8.94,A
3000,0.04,5.0,7.51,A
7500,0.09,4.0,5.42,A
5750,0.14,1.0,13.57,C
10000,0.13,16.0,11.86,B
10000,0.12,2.0,13.11,C
15000,0.32,7.0,10.62,B
4000,0.05,5.0,13.99,C
15000,0.24,8.0,9.45,B
15000,0.23,1.0,11.12,B
3500,0.08,12.0,13.61,C
15000,0.34,8.0,12.18,B
2400,0.06,5.0,10.99,B
5000,0.08,7.0,5.79,A
17500,0.41,11.0,7.29,A
25000,0.04,16.0,12.53,C
10000,0.1,2.0,7.51,A
24000,0.2,1.0,12.69,B
3200,0.07,8.0,5.99,A
8000,0.12,5.0,7.51,A
6325,0.05,0.0,6.54,A
10000,0.14,2.0,8.94,A
30000,0.29,6.0,5.99,A
8000,0.13,1.0,6.03,A
3000,0.05,4.0,6.76,A
10000,0.18,1.0,9.99,B
13650,0.27,6.0,6.99,A
12000,0.09,7.0,11.71,B
5000,0.08,7.0,5.79,A
5000,0.05,3.0,12.23,C
8000,0.1,13.0,7.66,A
1500,0.03,7.0,9.62,B
5000,0.07,11.0,13.85,C
12000,0.3,8.0,10.37,B
12000,0.15,12.0,10.99,B
6400,0.21,5.0,11.49,B
7500,0.14,7.0,12.84,C
9100,0.12,19.0,6.03,A
6400,0.19,2.0,6.0,B
10000,0.13,4.0,6.62,A
14400,0.24,4.0,8.9,A
8000,0.13,4.0,11.48,B
15000,0.38,0.0,9.64,B
7000,0.05,11.0,10.59,B
10000,0.18,4.0,10.37,B
8300,0.17,5.0,8.9,A
6000,0.11,2.0,12.73,C
10000,0.23,11.0,12.42,B
20000,0.27,4.0,11.48,B
4800,0.09,8.0,6.92,A
10000,0.23,7.0,10.74,B
5550,0.07,8.0,8.49,A
7000,0.07,5.0,6.92,A
5000,0.17,3.0,9.25,B
4000,0.33,0.0,10.65,B
3500,0.13,6.0,8.49,A
25000,0.31,6.0,6.62,A
6000,0.1,5.0,6.91,A
10000,0.15,5.0,12.42,B
7000,0.29,4.0,6.92,A
8000,0.19,0.0,13.61,C
5000,0.07,6.0,6.03,A
3400,0.03,1.0,12.21,B
6000,0.19,10.0,15.23,C
9000,0.14,3.0,11.86,B
15000,0.31,5.0,11.99,B
10000,0.31,0.0,10.59,B
6475,0.26,4.0,9.91,B
5500,0.11,3.0,13.49,C
6600,0.19,0.0,8.59,A
15000,0.27,1.0,11.26,B
8500,0.08,0.0,7.51,A
14000,0.27,4.0,14.27,C
8400,0.17,2.0,7.29,A
17600,0.13,1.0,12.42,B
5000,0.06,6.0,5.42,A
14000,0.39,5.0,7.51,A
6600,0.09,0.0,10.99,B
2200,0.03,10.0,13.43,C
10800,0.09,0.0,14.65,C
7000,0.39,1.0,10.65,B
12000,0.17,5.0,12.68,C
5000,0.06,5.0,14.26,C
10000,0.13,13.0,12.73,C
2000,0.08,4.0,10.99,B
7500,0.19,0.0,11.86,B
6000,0.16,1.0,12.87,C
12000,0.19,0.0,13.49,C
3200,0.06,5.0,9.88,B
2500,0.12,2.0,9.63,B
14000,0.15,10.0,6.03,A
3600,0.04,6.0,7.9,A
4000,0.08,0.0,14.65,C
5000,0.15,2.0,10.65,B
17500,0.36,12.0,12.18,B
2800,0.06,0.0,10.59,B
10000,0.29,1.0,11.26,B
5000,0.21,3.0,6.92,A
5600,0.13,8.0,7.49,A
8000,0.12,8.0,7.49,A
4200,0.11,4.0,11.11,B
2000,0.04,2.0,11.86,B
12000,0.12,15.0,14.26,C
7000,0.11,1.0,8.49,A
35000,0.28,1.0,14.27,C
10000,0.11,4.0,8.59,A
6000,0.15,9.0,9.7,B
8000,0.15,3.0,10.99,B
13025,0.33,1.0,10.14,B
6000,0.31,2.0,11.99,B
9925,0.21,6.0,9.63,A
15825,0.31,10.0,6.99,A
6400,0.1,2.0,8.49,A
25000,0.36,9.0,6.99,A
6000,0.17,4.0,5.99,A
10000,0.11,3.0,7.88,A
35000,0.28,5.0,7.9,A
10000,0.31,5.0,11.71,B
5375,0.11,5.0,7.49,A
3200,0.09,0.0,7.49,A
8000,0.11,8.0,6.17,A
10000,0.13,1.0,9.2,B
7750,0.14,5.0,10.38,B
10000,0.33,17.0,5.79,A
11000,0.09,9.0,12.18,B
8000,0.16,4.0,6.62,A
2400,0.05,0.0,7.88,A
8000,0.16,8.0,6.76,A
4800,0.18,1.0,7.51,A
5000,0.12,5.0,7.74,A
5750,0.17,1.0,10.75,B
25000,0.15,4.0,9.91,B
5000,0.17,0.0,10.33,B
4000,0.05,9.0,7.88,A
2000,0.01,4.0,8.59,A
7500,0.08,0.0,10.39,B
3500,0.05,2.0,13.22,C
7500,0.06,1.0,12.29,C
4000,0.11,5.0,10.99,B
4500,0.06,12.0,6.62,A
6000,0.09,0.0,9.63,A
24250,0.27,5.0,10.62,B
24000,0.37,6.0,11.83,B
2500,0.06,5.0,13.49,C
15000,0.27,14.0,8.49,A
5000,0.2,2.0,9.62,B
7200,0.07,17.0,14.35,C
7000,0.11,12.0,12.98,C
16000,0.23,9.0,12.18,B
4500,0.05,0.0,10.99,B
8000,0.24,12.0,14.65,C
5000,0.13,11.0,9.91,B
14000,0.16,7.0,6.03,A
6500,0.22,4.0,14.27,C
16000,0.08,0.0,10.91,C
10000,0.02,8.0,7.88,A
9000,0.08,2.0,7.51,A
16950,0.23,3.0,10.37,B
12000,0.34,7.0,12.42,B
3200,0.08,12.0,5.42,A
14700,0.09,9.0,13.43,C
15000,0.3,3.0,9.88,B
1700,0.04,2.0,14.72,C
2500,0.16,5.0,6.03,A
5600,0.11,5.0,7.49,A
4600,0.1,5.0,5.42,A
15600,0.38,4.0,12.87,C
4800,0.14,0.0,8.9,A
4200,0.12,1.0,10.99,B
25000,0.04,14.0,12.18,B
10000,0.25,5.0,13.49,C
5100,0.18,6.0,11.89,B
8000,0.07,8.0,6.76,A
6000,0.14,3.0,9.99,B
12000,0.11,1.0,7.49,A
2800,0.06,4.0,7.49,A
6000,0.24,8.0,6.62,A
6000,0.11,1.0,10.74,B
6400,0.1,4.0,13.23,C
12000,0.13,5.0,7.88,A
30000,0.2,9.0,8.9,A
2100,0.02,2.0,9.91,B
7000,0.15,12.0,11.36,B
10000,0.25,5.0,11.99,B
20000,0.28,4.0,12.21,B
15000,0.21,7.0,7.51,A
8000,0.21,7.0,6.03,A
9000,0.2,1.0,11.71,B
15350,0.19,14.0,8.49,A
6000,0.17,2.0,7.49,A
5900,0.1,6.0,11.12,B
3000,0.04,11.0,5.42,A
6600,0.16,1.0,8.0,A
3000,0.04,1.0,14.27,C
9000,0.19,7.0,8.94,A
7500,0.27,7.0,7.74,A
10000,0.24,4.0,10.75,B
6000,0.09,6.0,5.42,A
20000,0.13,3.0,13.47,C
15000,0.24,8.0,9.45,B
5500,0.11,2.0,8.32,A
8000,0.27,0.0,9.91,B
4000,0.12,9.0,7.9,A
8575,0.16,0.0,14.65,C
24000,0.31,24.0,13.49,C
12000,0.17,5.0,10.62,B
6625,0.14,13.0,8.49,A
4800,0.02,4.0,13.57,C
4000,0.2,2.0,12.18,B
4000,0.08,7.0,13.99,C
2500,0.07,9.0,12.53,B
6000,0.09,5.0,10.99,B
2500,0.05,6.0,14.35,C
15000,0.52,10.0,10.0,B
15000,0.42,2.0,7.66,A
8400,0.2,2.0,13.49,C
10000,0.21,13.0,7.51,A
12000,0.31,9.0,10.38,B
